,Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
36,Romania,Liga 1,2012/2013,17/08/2012,18:30,CFR Cluj,Poli Iasi,2,2,D,1.28,5.66,14.05,1.28,6.23,16.75,1.24,5.15,10.86
37,Romania,Liga 1,2012/2013,17/08/2012,19:30,Concordia,Din. Bucuresti,0,0,D,3.58,3.49,2.16,4.75,3.49,2.16,3.88,3.28,1.86
38,Romania,Liga 1,2012/2013,18/08/2012,17:00,Bistrita,Vaslui,0,3,A,4.72,3.54,1.88,5.37,3.54,1.88,4.63,3.37,1.69
39,Romania,Liga 1,2012/2013,18/08/2012,19:30,Petrolul,FC Rapid Bucuresti,0,0,D,2.25,3.42,3.38,2.25,3.51,3.5,2.13,3.16,3.19
40,Romania,Liga 1,2012/2013,19/08/2012,20:00,FCSB,Ceahlaul,3,0,H,1.23,6.39,15.99,1.3,6.49,15.99,1.23,5.42,10.53
41,Romania,Liga 1,2012/2013,20/08/2012,17:00,Viitorul Constanta,Gaz Metan Medias,0,1,A,2.64,3.21,2.93,2.64,3.25,3.25,2.36,3.08,2.84
42,Romania,Liga 1,2012/2013,20/08/2012,17:00,Pandurii,Otelul,3,2,H,1.91,3.6,4.38,1.91,3.7,5.18,1.76,3.37,4.36
43,Romania,Liga 1,2012/2013,20/08/2012,19:30,FC Brasov,Astra,1,2,A,2.06,3.43,3.92,2.2,3.43,3.92,2.06,3.18,3.34
44,Romania,Liga 1,2012/2013,24/08/2012,19:30,Gaz Metan Medias,CS Turnu Severin,2,0,H,1.96,3.38,4.45,2.0,3.6,5.0,1.82,3.3,4.17
45,Romania,Liga 1,2012/2013,25/08/2012,17:00,Astra,Concordia,6,3,H,1.94,3.29,4.73,1.96,3.45,4.73,1.85,3.25,4.01
46,Romania,Liga 1,2012/2013,25/08/2012,17:00,Otelul,Bistrita,1,1,D,1.41,4.38,10.8,1.45,4.49,10.8,1.4,4.09,7.43
47,Romania,Liga 1,2012/2013,25/08/2012,19:30,FC Rapid Bucuresti,CFR Cluj,3,2,H,1.96,3.45,4.34,2.0,3.5,4.34,1.91,3.25,3.68
48,Romania,Liga 1,2012/2013,26/08/2012,17:00,Poli Iasi,Pandurii,0,1,A,5.26,3.82,1.74,5.26,3.82,1.91,4.04,3.42,1.78
49,Romania,Liga 1,2012/2013,26/08/2012,19:30,Din. Bucuresti,Petrolul,2,1,H,2.29,3.29,3.43,2.4,3.32,3.6,2.16,3.17,3.14
50,Romania,Liga 1,2012/2013,27/08/2012,17:00,Ceahlaul,Viitorul Constanta,0,3,A,2.42,3.22,3.25,2.5,3.3,3.4,2.24,3.13,3.04
51,Romania,Liga 1,2012/2013,27/08/2012,17:00,U. Cluj,FC Brasov,1,1,D,2.72,3.25,2.82,2.73,3.37,2.9,2.45,3.14,2.7
52,Romania,Liga 1,2012/2013,27/08/2012,19:30,Vaslui,FCSB,3,1,H,2.66,3.2,2.91,2.72,3.3,3.1,2.49,3.08,2.71
53,Romania,Liga 1,2012/2013,31/08/2012,17:00,Bistrita,Poli Iasi,1,0,H,1.8,3.57,5.24,1.85,3.7,5.24,1.79,3.33,4.2
54,Romania,Liga 1,2012/2013,01/09/2012,17:00,FC Brasov,Gaz Metan Medias,3,1,H,1.85,3.35,5.13,2.0,3.5,5.13,1.84,3.22,4.1
55,Romania,Liga 1,2012/2013,01/09/2012,19:30,Pandurii,FC Rapid Bucuresti,2,0,H,2.29,3.32,3.38,2.4,3.32,3.38,2.28,3.15,2.92
56,Romania,Liga 1,2012/2013,02/09/2012,15:00,Astra,Din. Bucuresti,1,0,H,2.81,3.23,2.74,2.9,3.3,2.83,2.66,3.18,2.45
57,Romania,Liga 1,2012/2013,02/09/2012,16:55,FCSB,Otelul,2,1,H,1.42,4.37,10.21,1.55,4.37,10.21,1.45,3.88,6.92
58,Romania,Liga 1,2012/2013,02/09/2012,18:50,CFR Cluj,Petrolul,2,2,D,1.73,3.82,5.26,1.8,3.82,5.32,1.69,3.58,4.47
59,Romania,Liga 1,2012/2013,02/09/2012,19:45,Concordia,U. Cluj,0,2,A,2.04,3.44,3.98,2.1,3.5,3.98,2.03,3.27,3.37
60,Romania,Liga 1,2012/2013,02/09/2012,20:45,Viitorul Constanta,Vaslui,2,2,D,6.19,3.42,1.74,6.19,3.9,1.74,5.02,3.45,1.65
61,Romania,Liga 1,2012/2013,03/09/2012,17:00,CS Turnu Severin,Ceahlaul,1,1,D,2.1,3.39,3.85,2.25,3.4,3.85,2.1,3.21,3.24
62,Romania,Liga 1,2012/2013,14/09/2012,17:00,Ceahlaul,FC Brasov,2,1,H,2.86,3.1,2.79,2.92,3.25,2.95,2.52,3.06,2.69
63,Romania,Liga 1,2012/2013,14/09/2012,19:30,Din. Bucuresti,CFR Cluj,0,1,A,2.85,3.23,2.7,3.0,3.3,2.75,2.72,3.13,2.44
64,Romania,Liga 1,2012/2013,15/09/2012,17:00,Gaz Metan Medias,Concordia,1,3,A,1.69,3.92,5.48,1.83,3.92,5.5,1.71,3.53,4.41
