,Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
36,Mexico,Liga MX,2012/2013,18/08/2012,01:30,Club Tijuana,U.A.N.L.- Tigres,2,1,H,2.95,3.21,2.67,2.95,3.3,2.67,2.8,3.08,2.44
37,Mexico,Liga MX,2012/2013,18/08/2012,03:30,Cruz Azul,Club Leon,1,1,D,2.59,3.44,2.88,2.59,3.44,3.1,2.35,3.21,2.85
38,Mexico,Liga MX,2012/2013,18/08/2012,03:30,Monarcas,Puebla,3,0,H,1.73,4.07,4.95,1.75,4.07,5.5,1.66,3.64,4.82
39,Mexico,Liga MX,2012/2013,18/08/2012,23:00,Queretaro,Club America,0,4,A,3.95,3.85,1.95,4.15,3.85,2.1,3.68,3.39,1.93
40,Mexico,Liga MX,2012/2013,19/08/2012,01:00,Monterrey,Atlante,1,1,D,1.65,3.98,5.96,1.69,4.2,8.0,1.53,3.84,5.92
41,Mexico,Liga MX,2012/2013,19/08/2012,01:00,Santos Laguna,U.N.A.M.- Pumas,1,2,A,2.22,3.35,3.62,2.24,3.4,4.05,2.02,3.27,3.56
42,Mexico,Liga MX,2012/2013,19/08/2012,03:00,Atl. San Luis,Guadalajara Chivas,0,1,A,2.87,3.3,2.67,2.91,3.3,3.05,2.56,3.11,2.68
43,Mexico,Liga MX,2012/2013,19/08/2012,03:00,Atlas,Chiapas,1,1,D,2.19,3.43,3.61,2.29,3.43,3.75,2.05,3.23,3.45
44,Mexico,Liga MX,2012/2013,19/08/2012,18:00,Toluca,Pachuca,1,0,H,2.33,3.43,3.27,2.36,3.43,3.5,2.15,3.2,3.22
45,Mexico,Liga MX,2012/2013,25/08/2012,01:30,Chiapas,Queretaro,2,1,H,1.58,4.4,6.05,1.7,4.4,6.05,1.62,3.77,4.98
46,Mexico,Liga MX,2012/2013,25/08/2012,02:30,Club Leon,Monarcas,1,3,A,1.91,3.82,4.17,2.15,3.82,4.17,1.97,3.36,3.58
47,Mexico,Liga MX,2012/2013,25/08/2012,23:00,Club America,Club Tijuana,0,1,A,1.88,3.67,4.54,1.93,3.75,4.65,1.79,3.5,4.15
48,Mexico,Liga MX,2012/2013,26/08/2012,01:00,Pachuca,Santos Laguna,0,0,D,2.29,3.58,3.22,2.46,3.58,3.22,2.25,3.26,2.97
49,Mexico,Liga MX,2012/2013,26/08/2012,01:00,U.A.N.L.- Tigres,Toluca,1,1,D,1.93,3.66,4.29,1.95,4.0,4.4,1.85,3.45,3.88
50,Mexico,Liga MX,2012/2013,26/08/2012,18:00,Puebla,Atl. San Luis,1,0,H,2.71,3.25,2.87,2.74,3.4,3.1,2.42,3.18,2.8
51,Mexico,Liga MX,2012/2013,26/08/2012,18:00,U.N.A.M.- Pumas,Cruz Azul,0,1,A,2.79,3.26,2.76,2.8,3.3,3.25,2.5,3.1,2.76
52,Mexico,Liga MX,2012/2013,26/08/2012,23:00,Guadalajara Chivas,Monterrey,1,2,A,2.54,3.37,2.96,2.63,3.5,2.96,2.52,3.15,2.7
53,Mexico,Liga MX,2012/2013,27/08/2012,00:00,Atlante,Atlas,1,0,H,2.06,3.61,3.81,2.25,3.61,3.81,2.13,3.25,3.24
54,Mexico,Liga MX,2012/2013,01/09/2012,01:30,Club Tijuana,Chiapas,2,0,H,1.99,3.39,4.38,2.02,3.7,5.5,1.87,3.35,4.01
55,Mexico,Liga MX,2012/2013,01/09/2012,03:30,Monarcas,U.N.A.M.- Pumas,0,1,A,1.96,3.58,4.23,2.04,3.7,5.2,1.94,3.34,3.71
56,Mexico,Liga MX,2012/2013,01/09/2012,23:00,Cruz Azul,Pachuca,1,1,D,1.85,3.7,4.69,1.9,3.7,4.7,1.83,3.44,4.03
