,Date,FTHG,FTAG,FTR,Home,Away,PH,PD,PA,PCH,PCD,PCA
51,01/02/14,0.0,3.0,A,Newcastle,Sunderland,1.93,3.56,4.54,2.01,3.45,4.35
52,01/02/14,2.0,1.0,H,Stoke,Man United,6.95,4.13,1.58,7.82,4.44,1.5
53,01/02/14,2.0,0.0,H,West Ham,Swansea,2.97,3.39,2.58,2.85,3.4,2.67
54,01/02/14,1.0,1.0,D,Hull,Tottenham,3.87,3.48,2.11,3.7,3.36,2.21
55,01/02/14,0.0,3.0,A,Fulham,Southampton,3.63,3.39,2.22,3.67,3.45,2.19
56,01/02/14,2.0,1.0,H,Everton,Aston Villa,1.52,4.35,7.5,1.59,4.11,6.74
57,01/02/14,2.0,1.0,H,Cardiff,Norwich,2.27,3.35,3.57,2.22,3.44,3.6
58,01/02/15,0.0,1.0,A,Southampton,Swansea,1.62,3.99,6.62,1.67,3.95,5.95
59,01/02/15,5.0,0.0,H,Arsenal,Aston Villa,1.27,6.21,14.32,1.29,6.05,12.45
60,01/02/17,0.0,0.0,D,Man United,Hull,1.2,7.88,17.01,1.2,8.0,15.75
61,01/02/17,1.0,1.0,D,Stoke,Everton,2.85,3.4,2.67,3.2,3.37,2.43
62,01/02/17,0.0,4.0,A,West Ham,Man City,5.94,4.55,1.58,5.73,4.68,1.58
63,01/02/2020,0.0,0.0,D,Newcastle,Norwich,2.27,3.45,3.33,2.25,3.38,3.44
64,01/02/2020,4.0,0.0,H,Liverpool,Southampton,1.29,6.04,11.28,1.31,5.65,10.51
65,01/02/2020,0.0,1.0,A,Crystal Palace,Sheffield United,3.13,3.1,2.58,3.25,3.03,2.55
66,01/02/2020,2.0,1.0,H,Bournemouth,Aston Villa,2.17,3.6,3.43,2.15,3.4,3.7
67,01/02/2020,2.0,2.0,D,Leicester,Chelsea,2.53,3.69,2.74,2.63,3.49,2.74
68,01/02/2020,2.0,3.0,A,Watford,Everton,2.73,3.36,2.73,3.1,3.39,2.42
69,01/02/2020,3.0,3.0,D,West Ham,Brighton,2.56,3.44,2.86,2.52,3.42,2.93
70,01/02/2020,0.0,0.0,D,Man United,Wolves,2.24,3.3,3.55,2.12,3.5,3.68
71,01/03/14,1.0,0.0,H,Stoke,Arsenal,5.97,3.74,1.71,5.19,3.7,1.8
72,01/03/14,1.0,0.0,H,Everton,West Ham,1.54,4.28,7.23,1.51,4.39,7.61
73,01/03/14,1.0,3.0,A,Fulham,Chelsea,7.44,4.6,1.5,8.06,4.85,1.45
74,01/03/14,0.0,3.0,A,Southampton,Liverpool,3.58,3.74,2.11,3.82,3.76,2.03
75,01/03/14,1.0,4.0,A,Hull,Newcastle,2.38,3.24,3.42,2.31,3.28,3.55
76,01/03/15,2.0,0.0,H,Arsenal,Everton,1.55,4.47,6.6,1.56,4.5,6.35
77,01/03/15,2.0,1.0,H,Liverpool,Man City,3.16,3.59,2.36,3.29,3.62,2.27
78,01/03/2016,1.0,2.0,A,Norwich,Chelsea,5.31,4.08,1.7,5.56,3.86,1.72
79,01/03/2016,2.0,2.0,D,Sunderland,Crystal Palace,2.48,3.36,3.13,2.49,3.27,3.19
80,01/03/2016,2.0,2.0,D,Leicester,West Brom,1.73,3.84,5.5,1.68,3.95,5.87
81,01/03/2016,1.0,3.0,A,Aston Villa,Everton,4.44,3.69,1.91,5.48,4.14,1.68
82,01/03/2016,2.0,0.0,H,Bournemouth,Southampton,2.91,3.3,2.68,2.86,3.26,2.74
83,01/03/2018,0.0,3.0,A,Arsenal,Man City,4.58,4.06,1.8,4.75,4.33,1.72
84,01/03/2020,2.0,3.0,A,Tottenham,Wolves,2.47,3.19,3.21,2.88,3.1,2.77
85,01/03/2020,1.0,1.0,D,Everton,Man United,2.56,3.42,2.88,2.89,3.3,2.62
86,01/03/2021,1.0,0.0,H,Everton,Southampton,2.21,3.58,3.44,2.2,3.55,3.49
87,01/03/2022,0.0,2.0,A,Burnley,Leicester,2.98,3.39,2.55,2.95,3.31,2.63
88,01/04/13,3.0,2.0,H,Fulham,QPR,2.04,3.6,3.95,2.12,3.55,3.75
89,01/04/17,0.0,2.0,A,Burnley,Tottenham,6.07,3.91,1.67,5.11,3.81,1.78
90,01/04/17,1.0,2.0,A,Chelsea,Crystal Palace,1.3,5.9,12.0,1.36,5.25,10.8
91,01/04/17,2.0,1.0,H,Hull,West Ham,2.47,3.42,3.1,2.44,3.35,3.2
92,01/04/17,0.0,0.0,D,Southampton,Bournemouth,1.67,4.13,5.57,1.67,4.13,5.55
93,01/04/17,0.0,0.0,D,Man United,West Brom,1.37,5.05,10.55,1.38,5.05,10.0
94,01/04/17,3.0,1.0,H,Liverpool,Everton,1.73,3.97,5.25,1.73,3.79,5.6
95,01/04/17,2.0,0.0,H,Leicester,Stoke,2.07,3.48,4.0,1.89,3.65,4.59
96,01/04/17,1.0,0.0,H,Watford,Sunderland,1.87,3.67,4.72,1.97,3.6,4.23
97,01/04/2018,3.0,0.0,H,Arsenal,Stoke,1.31,6.1,10.47,1.31,6.05,11.0
