,FTHG,FTAG,FTR,Home,Away,PH,PD,PA,PCH,PCD,PCA,H_LastOdds,A_LastOdds,H_LastFTG,A_LastFTG,H_MMR,A_MMR,H_3Points,A_3Points,H_9Points,A_9Points,H_17Points,A_17Points,H_3EVs,A_3EVs,H_5EVs,A_5EVs,H_9EVs,A_9EVs,H_1shock,A_1shock,H_3shock,A_3shock,H_7shock,A_7shock,H_winstreak,A_winstreak
105,2.0,0.0,H,Leicester,Leeds,2.36,3.65,3.08,2.37,3.64,3.05,2.37,3.05,0.0,0.0,18.837018129573273,21.88141051159395,4,1,4,9,5,9,4.45,8.149999999999999,13.120000000000001,11.870000000000001,28.060000000000002,26.509999999999998,2.49,0.7,3.2100000000000004,2.5999999999999996,-10.99,-9.16,-1,-4
106,1.0,0.0,H,Nott'm Forest,Liverpool,11.14,5.8,1.3,9.5,5.5,1.36,9.5,1.36,0.0,0.0,17.772076980932834,28.035788142238562,2,6,3,15,6,16,14.34,6.92,19.89,7.809999999999999,55.82,11.24,-8.53,-0.43999999999999995,-11.559999999999999,-1.8499999999999996,-1.1499999999999995,8.72,-6,2
107,3.0,0.0,H,Everton,Crystal Palace,2.69,3.19,2.97,2.54,3.18,3.18,2.54,3.18,0.0,0.0,23.126641972541936,24.07603379828239,0,7,10,13,10,13,13.290000000000001,6.18,19.47,12.829999999999998,32.56,42.51,0.6599999999999999,0.6300000000000003,1.1899999999999997,-1.7799999999999994,-15.129999999999999,-34.93,-3,2
108,3.0,1.0,H,Man City,Brighton,1.21,7.21,15.39,1.23,7.25,14.0,1.23,14.0,0.0,0.0,30.129250278241503,23.69335077913487,6,1,20,12,23,15,3.4599999999999995,3.26,5.140000000000001,11.049999999999999,8.99,18.57,2.81,1.41,16.810000000000002,8.05,45.69,5.6800000000000015,-1,-2
109,1.0,1.0,D,Chelsea,Man United,2.15,3.54,3.64,2.17,3.65,3.62,2.17,3.62,0.0,0.0,28.121880546546983,30.861436781280762,7,7,17,19,20,19,4.4799999999999995,5.6,7.96,14.01,11.779999999999998,23.71,1.88,-2.8600000000000003,-1.8499999999999996,-0.31000000000000005,17.38,-20.54,4,2
110,4.0,0.0,H,Aston Villa,Brentford,2.23,3.46,3.51,2.08,3.57,3.81,2.08,3.81,0.0,0.0,20.77228397347567,24.975310793882926,1,4,6,10,9,14,5.470000000000001,11.19,9.670000000000002,15.959999999999999,26.49,23.79,6.09,-4.49,10.26,-10.09,-7.460000000000001,-9.799999999999999,-2,1
111,2.0,3.0,A,Leeds,Fulham,2.06,3.69,3.75,2.1,3.81,3.51,2.1,3.51,0.0,0.0,20.43300542062603,24.821762613512142,0,4,6,13,9,15,8.75,8.899999999999999,12.75,13.49,26.11,31.29,2.74,-6.09,2.8899999999999997,-7.109999999999999,9.0,-11.840000000000002,-5,1
112,1.0,1.0,D,Southampton,Arsenal,6.2,4.31,1.58,7.07,4.79,1.48,7.07,1.48,0.0,0.0,22.365795904836773,35.029426312409875,4,9,10,24,11,27,24.869999999999997,6.2700000000000005,28.89,9.809999999999999,43.949999999999996,15.829999999999998,-1.8599999999999999,-0.7,-4.35,-2.2300000000000004,-6.739999999999998,8.49,1,4
113,0.0,4.0,A,Wolves,Leicester,2.3,3.35,3.46,2.41,3.43,3.18,2.41,3.18,0.0,0.0,21.293381947195364,20.510315569896253,3,4,8,7,9,8,10.68,5.08,21.94,12.2,33.0,25.460000000000004,-0.6300000000000003,-2.74,0.19999999999999973,3.4299999999999997,4.59,-7.560000000000002,-1,1
114,1.0,2.0,A,Tottenham,Newcastle,2.12,3.62,3.63,2.25,3.52,3.41,2.25,3.41,0.0,0.0,30.108327570574353,27.901367959217694,6,7,19,14,23,18,6.489999999999999,6.0600000000000005,10.89,8.999999999999998,16.66,27.73,2.8600000000000003,-0.6599999999999999,-0.07999999999999963,-3.4699999999999998,13.91,-13.04,-1,3
